05/31/24 1:33:57: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/home-page/_featured-courses.scss on line 125, at column 0
05/31/24 1:33:59: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/home-page/_featured-courses.scss on line 125, at column 0
05/31/24 1:34:02: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/home-page/_featured-courses.scss on line 124, at column 0
05/31/24 1:34:08: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/home-page/_featured-courses.scss on line 124, at column 0
05/31/24 1:34:15: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/home-page/_featured-courses.scss on line 124, at column 0
05/31/24 1:34:38: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/home-page/_featured-courses.scss on line 124, at column 0
05/31/24 1:34:39: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/home-page/_featured-courses.scss on line 124, at column 0
05/31/24 1:49:06: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/home-page/_trainings.scss on line 207, at column 0
05/31/24 1:49:06: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/home-page/_trainings.scss on line 207, at column 0
05/31/24 1:49:07: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/home-page/_trainings.scss on line 207, at column 0
05/31/24 1:49:08: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/home-page/_trainings.scss on line 207, at column 0
05/31/24 1:49:09: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/home-page/_trainings.scss on line 207, at column 0
05/31/24 1:49:10: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/home-page/_trainings.scss on line 207, at column 0
05/31/24 1:49:11: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/home-page/_trainings.scss on line 207, at column 0
05/31/24 1:49:11: style.scss - unclosed block: failed at `` /nas/content/live/fhrclmsprd/wp-content/themes/fhrc_lms/assets/scss/partials/home-page/_trainings.scss on line 207, at column 0
